,artist,track,track_pop,duration_ms,album_name
5649,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),79,214480,7/27 (Deluxe)
17449,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",79,174800,"Let Me Go (with Alesso, Florida Georgia Line & watt)"
22249,Galantis,Runaway (U & I),79,227073,Pharmacy
6849,Logic,1-800-273-8255,79,250173,Everybody
6049,Gotye,Somebody That I Used To Know,79,244973,Making Mirrors
19199,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),79,204173,Grateful
16599,Survivor,Eye of the Tiger,79,243773,Eye Of The Tiger
23999,Niall Horan,Slow Hands,79,188174,Flicker (Deluxe)
10049,Zedd,Stay,79,210090,Stay
5549,Drake,In My Feelings,79,217925,Scorpion
14449,50 Cent,In Da Club,79,193466,Get Rich Or Die Tryin'
20799,Jason Derulo,Want to Want Me,79,207719,Everything Is 4
23249,Calvin Harris,Slide (feat. Frank Ocean & Migos),79,230813,Funk Wav Bounces Vol.1
21749,Dan + Shay,"10,000 Hours (with Justin Bieber)",79,167693,"10,000 Hours (with Justin Bieber)"
18499,The Lumineers,Ophelia,79,160097,Cleopatra
20549,Calvin Harris,Promises (with Sam Smith),79,213309,Promises (with Sam Smith)
20599,Kodak Black,ZEZE (feat. Travis Scott & Offset),79,228759,Dying to Live
21249,Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,79,189413,Prayer in C
9549,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",78,195428,B4 The Storm
399,Imagine Dragons,Demons,78,175200,Night Visions
2,Tones And I,Dance Monkey,78,209438,Welcome To The Madhouse (Deluxe)
3049,Queen,Don't Stop Me Now - Remastered 2011,78,209413,Jazz (Deluxe Remastered Version)
8449,"Earth, Wind & Fire",September,78,215093,"The Best Of Earth, Wind & Fire Vol. 1"
24349,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,78,207904,Back To You (From 13 Reasons Why – Season 2 Soundtrack)
20349,Lady Gaga,Rain On Me (with Ariana Grande),78,182200,Chromatica
14249,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),78,216408,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
22699,Ed Sheeran,The A Team,78,258373,+
15149,Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",78,243490,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)
12599,The Chainsmokers,Paris,78,221506,Memories...Do Not Open
9749,Lil Mosey,Blueberry Faygo,78,162546,Certified Hitmaker
5599,J Balvin,Mi Gente,78,185040,Vibras
21449,Rae Sremmurd,Black Beatles,78,291893,SremmLife 2 (Deluxe)
14799,Jawsh 685,Savage Love (Laxed - Siren Beat),78,171374,Savage Love (Laxed - Siren Beat)
10899,Julia Michaels,Issues,78,176320,Nervous System
14599,Justin Bieber,Intentions (feat. Quavo),78,212866,Changes
20299,The Chainsmokers,Roses,78,226738,Roses
11699,Demi Lovato,Sorry Not Sorry,78,203760,Tell Me You Love Me
4049,DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",77,212500,Carte Blanche
4149,The Weeknd,I Feel It Coming,77,269186,Starboy
11649,Pedro Capó,Calma - Remix,77,238200,Calma (Remix)
20649,Billie Eilish,bury a friend,77,193143,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
10099,Hailee Steinfeld,Starving,77,181880,Starving
10699,Sam Smith,Dancing With A Stranger (with Normani),77,171029,Dancing With A Stranger (with Normani)
21649,Fifth Harmony,Worth It (feat. Kid Ink),77,224573,Reflection (Deluxe)
22199,Fetty Wap,679 (feat. Remy Boyz),77,196693,679 (feat. Remy Boyz)
6299,Ed Sheeran,Beautiful People (feat. Khalid),77,197866,No.6 Collaborations Project
22599,fun.,We Are Young (feat. Janelle Monáe),77,250626,Some Nights
2749,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",77,237546,TROLLS (Original Motion Picture Soundtrack)
14499,Jack Ü,Where Are Ü Now (with Justin Bieber),77,250285,Skrillex and Diplo present Jack Ü
6899,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),77,163870,All Your Fault: Pt. 2
20249,Bazzi,Mine,77,131064,COSMIC
24099,CNCO,Reggaetón Lento (Bailemos),77,222560,Primera Cita
3449,Queen,Another One Bites The Dust - Remastered 2011,77,214653,The Game (Deluxe Remastered Version)
15099,Fetty Wap,Trap Queen,77,222093,Fetty Wap (Deluxe)
5349,KAROL G,Tusa,77,201920,KG0516
24799,Shawn Mendes,In My Blood,76,211360,Shawn Mendes
7599,Bastille,Pompeii,76,214147,Bad Blood
11299,Farruko,Pepas,76,287120,La 167
5499,The Weeknd,Earned It (Fifty Shades Of Grey),76,277680,Beauty Behind The Madness
19799,JP Saxe,If the World Was Ending (feat. Julia Michaels),76,209493,Dangerous Levels of Introspection
5149,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),76,251173,What Is Love? (Deluxe Edition)
1099,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,76,197933,"At Night, Alone."
7399,Tyga,Taste (feat. Offset),76,229210,Legendary
13049,Future,Life Is Good (feat. Drake),76,237918,High Off Life
