,artist,track,track_pop,duration_ms,album_nm,album_dt
25299,Ice Spice,Princess Diana (with Nicki Minaj),88,172125,Princess Diana (with Nicki Minaj),2023-04-14
5199,TOTO,Africa,88,295893,Toto IV,1982-04-08
49199,Benson Boone,In The Stars,88,216410,In The Stars,2022-04-29
12199,Doja Cat,Woman,88,172626,Planet Her,2021-06-25
18749,Creedence Clearwater Revival,Fortunate Son,88,140773,Willy And The Poor Boys (Expanded Edition),1969-11-02
9149,Juice WRLD,All Girls Are The Same,88,165819,Goodbye & Good Riddance,2018-12-10
27299,Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],88,109750,Barbie World (with Aqua) [From Barbie The Album],2023-06-23
47149,SEVENTEEN,Super,88,200386,SEVENTEEN 10th Mini Album 'FML',2023-04-24
27999,Eslabon Armado,Así Lo Quiso Dios,88,205299,DESVELADO,2023-04-28
3849,Lewis Capaldi,Before You Go,88,215106,Divinely Uninspired To A Hellish Extent (Extended Edition),2019-11-22
27399,Post Malone,I Like You (A Happier Song) (with Doja Cat),88,192840,Twelve Carat Toothache,2022-06-03
17649,The Beatles,Here Comes The Sun - Remastered 2009,87,185733,Abbey Road (Remastered),1969-09-26
5,Post Malone,rockstar (feat. 21 Savage),87,218146,beerbongs & bentleys,2018-04-27
12299,Ariana Grande,One Last Time,87,197266,My Everything (Deluxe),2014-08-25
19599,ABBA,Dancing Queen,87,230400,Arrival,1976
12399,AC/DC,Thunderstruck,87,292880,The Razors Edge,1990-09-24
16199,R.E.M.,Losing My Religion,87,268426,Out Of Time (25th Anniversary Edition),1991-03-12
11549,Coldplay,Fix You,87,295533,X&Y,2005-06-07
19299,J. Cole,Wet Dreamz,87,239266,2014 Forest Hills Drive,2014-12-09
11949,The Goo Goo Dolls,Iris,87,289533,Dizzy up the Girl,1998-09-11
41349,Natanael Cano,Pacas De Billetes,87,188074,Pacas De Billetes,2023-05-01
41599,NewJeans,Hype Boy,87,179026,NewJeans 1st EP 'New Jeans',2022-08-01
42049,Arcángel,La Jumpa,87,255693,Sr. Santos,2022-12-01
9199,AC/DC,Back In Black,87,255493,Back In Black,1980-07-25
11149,Maroon 5,Maps,87,189960,V,2014-09-02
9999,Kendrick Lamar,All The Stars (with SZA),87,232186,Black Panther The Album Music From And Inspired By,2018-02-09
34,Ariana Grande,7 rings,87,178626,"thank u, next",2019-02-08
23799,Taylor Swift,Look What You Made Me Do,87,211853,reputation,2017-11-10
1199,Maroon 5,Memories,87,189486,JORDI (Deluxe),2021-06-11
13899,XXXTENTACION,Hope,87,110886,?,2018-03-16
29649,ThxSoMch,SPIT IN MY FACE!,87,147874,SPIT IN MY FACE!,2022-12-20
13799,Coldplay,Hymn for the Weekend,87,258266,A Head Full of Dreams,2015-12-04
30749,SZA,Nobody Gets Me,87,180853,SOS,2022-12-09
30,Justin Bieber,Love Yourself,87,233720,Purpose (Deluxe),2015-11-13
1649,French Montana,Unforgettable,87,233901,Jungle Rules,2017-07-14
30949,Labrinth,Never Felt So Alone,87,160166,Never Felt So Alone,2023-04-07
31049,Fuerza Regida,Bebe Dame,87,271861,Bebe Dame,2022-12-16
1399,Dua Lipa,Levitating (feat. DaBaby),87,203064,Future Nostalgia,2020-03-27
31299,Luis R Conriquez,El Gavilán,87,175295,El Gavilán,2022-10-21
999,Mark Ronson,Uptown Funk (feat. Bruno Mars),87,269666,Uptown Special,2015-01-12
3099,Charlie Puth,Attention,87,208786,Voicenotes,2018-05-11
37049,sped up 8282,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,87,145200,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,2023-04-08
32499,Peso Pluma,Siempre Pendientes,87,186828,Siempre Pendientes,2022-08-15
48649,Lewis Capaldi,Wish You The Best,87,210880,Broken By Desire To Be Heavenly Sent,2023-05-19
32649,Fuerza Regida,Ch y la Pizza,87,136913,Pa Que Hablen,2022-12-30
32749,Jimin,Like Crazy (English Version),87,212253,FACE,2023-03-24
499,Sam Smith,Stay With Me,87,172723,In The Lonely Hour,2014-05-26
32949,Billie Eilish,TV,87,281380,Guitar Songs,2022-07-21
199,DJ Snake,Let Me Love You,87,205946,Encore,2016-08-05
99,Travis Scott,SICKO MODE,87,312820,ASTROWORLD,2018-08-03
34799,Peso Pluma,Rosa Pastel,87,204253,Rosa Pastel,2023-04-20
47449,Tiësto,10:35,87,172252,10:35,2022-11-03
14099,Gorillaz,Feel Good Inc.,87,222640,Demon Days,2005-05-23
6149,WALK THE MOON,Shut Up and Dance,87,199080,TALKING IS HARD,2014-12-02
49449,Cris Mj,Una Noche en Medellín,87,153750,Una Noche en Medellín,2022-01-21
8049,Eagles,Hotel California - 2013 Remaster,87,391376,Hotel California (2013 Remaster),1976-12-08
7799,Billie Eilish,everything i wanted,87,245425,everything i wanted,2019-11-13
7649,Drake,Passionfruit,87,298940,More Life,2017-03-18
45849,Nicky Jam,69,87,221935,69,2023-05-19
25018,Lil Durk,Stand By Me (feat. Morgan Wallen),87,219173,Almost Healed,2023-05-26
25020,Morgan Wallen,You Proof,87,157477,One Thing At A Time,2023-03-03
21,Ed Sheeran,Thinking out Loud,87,281560,x (Deluxe Edition),2014-06-21
3149,Journey,Don't Stop Believin',87,250986,Escape (Bonus Track Version),1981
25045,Noah Kahan,Dial Drunk,87,213817,Stick Season (We'll All Be Here Forever),2023-06-09
8549,Harry Styles,Sign of the Times,87,340706,Harry Styles,2017-05-12
11849,Lil Baby,Drip Too Hard (Lil Baby & Gunna),87,145542,Drip Harder,2018-10-05
4449,Foster The People,Pumped Up Kicks,87,239600,Torches,2011-05-23
27,Lady Gaga,Shallow,87,215733,A Star Is Born Soundtrack,2018-10-05
26499,SZA,Low,87,181080,SOS,2022-12-09
37149,FIFTY FIFTY,Cupid,87,174253,The Beginning: Cupid,2023-02-24
8599,Calvin Harris,Summer,87,222533,Motion,2014-10-31
27449,El Alfa,PLEBADA,87,221739,PLEBADA,2023-06-08
3499,Bruno Mars,Just the Way You Are,87,220734,Doo-Wops & Hooligans,2010-10-05
